term,window,conf.low,estimate,conf.high,p.value,outcome
DPHP,prenatal,-16.597,2.364,21.325,0.8374990407278705,Left_Inf_Lat_Vent
DPHP,3y,-16.597,2.364,21.325,0.8374990407278705,Left_Inf_Lat_Vent
BCEtP,birth,-3.507,0.425,4.356,0.858857609726393,Left_vessel
BCEtP,prenatal,-3.567,0.349,4.264,0.8834198457543934,Left_vessel
BCEtP,3y,-5.186,-2.655,-0.125,0.08433954193513793,Left_vessel
BDCPP,birth,-3.159,-0.385,2.388,0.8193301083886164,Left_vessel
BDCPP,prenatal,-3.159,-0.385,2.388,0.8193301083886164,Left_vessel
BDCPP,3y,-3.159,-0.385,2.388,0.8193301083886164,Left_vessel
DBuP,birth,-4.034,-0.651,2.733,0.7518400499005478,Left_vessel
DBuP,prenatal,-4.034,-0.651,2.733,0.7518400499005478,Left_vessel
DBuP,3y,-4.034,-0.651,2.733,0.7518400499005478,Left_vessel
DPHP,birth,-5.105,-2.429,0.248,0.1355215344132702,Left_vessel
DPHP,prenatal,-5.105,-2.429,0.248,0.1355215344132702,Left_vessel
DPHP,3y,-3.108,1.729,6.566,0.5561796962040138,Left_vessel
BCEtP,birth,-16.280,0.213,16.705,0.98308423515741306,Right_Inf_Lat_Vent
BCEtP,prenatal,-16.280,0.213,16.705,0.98308423515741306,Right_Inf_Lat_Vent
BCEtP,3y,-16.280,0.213,16.705,0.98308423515741306,Right_Inf_Lat_Vent
BDCPP,birth,-8.309,6.806,21.920,0.4588985030919791,Right_Inf_Lat_Vent
BDCPP,prenatal,-8.309,6.806,21.920,0.4588985030919791,Right_Inf_Lat_Vent
BDCPP,3y,-8.309,6.806,21.920,0.4588985030919791,Right_Inf_Lat_Vent
DBuP,birth,-19.477,-1.754,15.969,0.8706717469360212,Right_Inf_Lat_Vent
DBuP,prenatal,-19.477,-1.754,15.969,0.8706717469360212,Right_Inf_Lat_Vent
DBuP,3y,-19.477,-1.754,15.969,0.8706717469360212,Right_Inf_Lat_Vent
DPHP,birth,-8.301,8.351,25.002,0.4094467352604657,Right_Inf_Lat_Vent
DPHP,prenatal,-8.301,8.351,25.002,0.4094467352604657,Right_Inf_Lat_Vent
DPHP,3y,-8.301,8.351,25.002,0.4094467352604657,Right_Inf_Lat_Vent
BCEtP,birth,-0.568,0.750,2.068,0.3491643776770599,Right_vessel
BCEtP,prenatal,-0.568,0.750,2.068,0.3491643776770599,Right_vessel
BCEtP,3y,-0.568,0.750,2.068,0.3491643776770599,Right_vessel
BDCPP,birth,-1.692,0.132,1.957,0.9049736330064739,Right_vessel
BDCPP,prenatal,-1.692,0.132,1.957,0.9049736330064739,Right_vessel
BDCPP,3y,-1.692,0.132,1.957,0.9049736330064739,Right_vessel
DBuP,birth,-1.809,-0.344,1.121,0.6995642591405644,Right_vessel
DBuP,prenatal,-1.809,-0.344,1.121,0.6995642591405644,Right_vessel
DBuP,3y,-1.809,-0.344,1.121,0.6995642591405644,Right_vessel
DPHP,birth,-1.196,0.538,2.271,0.6098854640561556,Right_vessel
DPHP,prenatal,-1.196,0.538,2.271,0.6098854640561556,Right_vessel
DPHP,3y,-1.196,0.538,2.271,0.6098854640561556,Right_vessel
BCEtP,birth,-182.068,143.368,468.804,0.46868171036225104,Lateral_Ventricle
BCEtP,prenatal,-182.068,143.368,468.804,0.46868171036225104,Lateral_Ventricle
BCEtP,3y,-182.068,143.368,468.804,0.46868171036225104,Lateral_Ventricle
BDCPP,birth,-561.500,-113.093,335.313,0.6778604505938641,Lateral_Ventricle
BDCPP,prenatal,-543.082,-93.442,356.199,0.7321455161615678,Lateral_Ventricle
BDCPP,3y,-377.356,92.896,563.149,0.7449068185927892,Lateral_Ventricle
DBuP,birth,-120.534,281.220,682.974,0.2495817961242578,Lateral_Ventricle
DBuP,prenatal,-120.534,281.220,682.974,0.2495817961242578,Lateral_Ventricle
DBuP,3y,-120.534,281.220,682.974,0.2495817961242578,Lateral_Ventricle
DPHP,birth,-35.793,251.796,539.384,0.14982822732004641,Lateral_Ventricle
DPHP,prenatal,-35.793,251.796,539.384,0.14982822732004641,Lateral_Ventricle
DPHP,3y,-35.793,251.796,539.384,0.14982822732004641,Lateral_Ventricle
BCEtP,birth,-334.878,-55.680,223.519,0.7428910094826378,Cerebellum_White_Matter
BCEtP,prenatal,-334.878,-55.680,223.519,0.7428910094826378,Cerebellum_White_Matter
BCEtP,3y,-334.878,-55.680,223.519,0.7428910094826378,Cerebellum_White_Matter
BDCPP,birth,-368.720,86.729,542.179,0.753803452723212,Cerebellum_White_Matter
BDCPP,prenatal,-555.445,-261.702,32.040,0.1428008142065833,Cerebellum_White_Matter
BDCPP,3y,-555.445,-261.702,32.040,0.1428008142065833,Cerebellum_White_Matter
DBuP,birth,-517.274,-50.961,415.352,0.857155355953319,Cerebellum_White_Matter
DBuP,prenatal,-423.679,75.982,575.643,0.8022343294631072,Cerebellum_White_Matter
DBuP,3y,-477.376,-29.474,418.428,0.9136917212476925,Cerebellum_White_Matter
DPHP,birth,-410.437,-86.072,238.292,0.6624931082002894,Cerebellum_White_Matter
DPHP,prenatal,-410.437,-86.072,238.292,0.6624931082002894,Cerebellum_White_Matter
DPHP,3y,-410.437,-86.072,238.292,0.6624931082002894,Cerebellum_White_Matter
BCEtP,birth,-512.039,165.050,842.138,0.6884528777685766,Cerebellum_Cortex
BCEtP,prenatal,-512.039,165.050,842.138,0.6884528777685766,Cerebellum_Cortex
BCEtP,3y,-512.039,165.050,842.138,0.6884528777685766,Cerebellum_Cortex
BDCPP,birth,-661.490,-48.929,563.632,0.8954704372991906,Cerebellum_Cortex
BDCPP,prenatal,-661.490,-48.929,563.632,0.8954704372991906,Cerebellum_Cortex
BDCPP,3y,-661.490,-48.929,563.632,0.8954704372991906,Cerebellum_Cortex
DBuP,birth,-948.578,145.054,1238.685,0.8270833472425385,Cerebellum_Cortex
DBuP,prenatal,-721.566,397.148,1515.863,0.5588209405833287,Cerebellum_Cortex
